"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"All","57955011697",2010072.9,"PROVISION OF ELECTRICITY TO SITES IN WA","Limited tender","Utilities","Utilities",4,2378903.03,2378903.03,0,0,"HORIZON POWER"
"All","58000205210",3e+07,"Print Production Services","Limited tender","Printing","Printing",117,36542200.59,30954436.39,4145120.21,1442643.99,"Blue Star Print"
"All","58003666000",8616266,"Software maintenance services","Limited tender","Software maintenance and support","Software",2,8636792,8616266,0,20526,"Novell Pty Ltd"
"All","58006212693",3900000,"Industry Specific Support for Redundant Tasmanian Forestry Workers","Limited tender","Employment services","Employment services",1,3900000,3900000,0,0,"Forestworks Ltd"
"All","58006500616",207900,"Ceilometers","Open tender","Measuring and observing and testing instruments","Measuring and observing and testing instruments",19,1133797.4,395639.2,603320.2,134838,"Vaisala Pty Ltd"
"All","58008458099",750000,"Printing of Mint Issue and Related products","Open tender","Promotional or advertising printing","Printing",53,3620270.78,100221,2477262.68,1042787.1,"Union Offset Co. Pty. Limited"
"All","58079538499",16482865.32,"Property Lease at Moreland, VIC","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,16482865.32,0,16482865.32,0,"Australian Unity Property Limted"
"All","58093925207",345400,"Hunter Developer Project PACMAN","Open tender","Information technology consultation services","Information technology consultation services",12,1751285.65,71985.1,1679300.55,0,"Avanade Australia Pty Ltd"
"All","58101674444",688412.88,"Corporate Services - IT Hardware","Open tender","Communications Devices and Accessories","Communications Devices and Accessories",23,3919798.82,1809780.39,1969286.92,140731.51,"M5 Network Security Pty Ltd"
"All","58105151326",476520,"Leadership Programs - ELs and SES","Open tender","Education and Training Services","Education and Training Services",15,1969662.2,25135.91,1642526.29,302000,"Bendelta Pty Ltd"
"All","58107780683",117238,"Provision of administrative assistance","Open tender","Legal services","Legal services",36,1613720.02,524421.97,1089298.05,0,"GILLIAN BEAUMONT LEGAL"
"All","58134662963",1276000,"IT Secuity Contractor Services","Open tender","Components for information technology or broadcasting or telecommunications","Management advisory services",62,7814773.89,718750.3,7041075.59,54948,"Saltbush Consulting Pty Ltd"
"All","59000694173",403766.64,"Haden FM contract fees FY12/13","Open tender","Management and provision of all facilities engineering modification and maintenance services for a site or platform","Building construction and support and maintenance and repair services",35,2466929.8,758419.95,1697059.85,11450,"Haden Engineering"
"All","59001777591",684001.74,"Lease at Broadbeach, QLD (Medicare 153)","Open tender","Lease and rental of property or building","Lease and rental of property or building",4,2004271.56,0,1322271.56,682000,"AMP Capital Investors Ltd"
"All","59004027749",1511654.29,"125102 - Property Lease","Limited tender","Lease and rental of property or building","Lease and rental of property or building",5,2849322.92,1554541.09,1294781.83,0,"Trust Company Ltd"
"All","59004232679",15761037.85,"Charter of RSV Aurora Australia for 2012/13 shipping season","Open tender","Marine transport","Marine transport",6,16411602.66,639214.91,15772387.75,0,"P&O Maritime Services Pty Ltd"
"All","59004275183",378522.21,"Metal Insignia","Open tender","Uniforms","Medals",26,2194117.83,759003.28,1435114.55,0,"CASH'S (AUSTRALIA) PTY LTD"
"All","59007406206",80630,"Fitout Management at Batemans Bay, NSW","Open tender","Building support services","Architectural services",43,1198168.17,151424,302970.03,743774.14,"James Millar Architects"
"All","59008622464",466228.4,"Provision of quantity survey services","Open tender","Strategic planning consultation services","Management advisory services",14,1147743.01,98546.5,1049196.51,0,"RIDER LEVETT BUCKNALL ACT PTY LTD"
"All","59010126100",5365188.06,"R5043 RAAF Edinburgh Revelopment Stage 2 head contract package 1 civil works, variations","Open tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",11,14200775.77,0,14200775.77,0,"BMD CONSTRUCTIONS PTY LTD"
"All","59081216220",4361000,"Lease for Parramatta Area Office","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,4361000,4361000,0,0,"Smith Street Developments Pty Ltd"
"All","59082449563",1500000,"Provision of Catering and Functions Management Services","Open tender","Restaurants and catering","Banquet and catering services",9,1644981,133901,1511080,0,"Hudsons Catering Pty Ltd"
"All","59084010784",1782295.16,"Construction of Archives and Langton Driveway and Parking Works","Prequalified tender","General building construction","Building construction and support and maintenance and repair services",6,2128626.33,0,0,2128626.33,"Simeonov Civil Engineering (ACT)"
"All","59086314883",1320777,"Development and Upgrade of Software","Open tender","Software","Software",12,3369139.48,2028342.48,1340797,0,"OCEAN SOFTWARE PTY LTD"
"All","59086726374",346960,"Engagement of IT Consultant - 2012/004 - A3622402 / A3622007 [ECM A3305597]","Open tender","Information technology consultation services","Computer services",17,1921174.6,0,1921174.6,0,"Interpro Australia Pty Ltd"
"All","59110544753",2026200,"Rental & Maintenance of Security Equipment - PVIDC","Prequalified tender","Lease and rental of property or building","Security and personal safety",10,2860061.25,666275.81,0,2193785.44,"SECURITY & TECHNOLOGY SERVICES"
"All","59125710394",223661331,"Lease at Hume Data Centre, ACT","Open tender","Lease and rental of property or building","Lease and rental of property or building",10,271967152.2,104227.19,271862925.01,0,"Canberra Data Centres Pty Ltd"
"All","59293373687",748939.7,"Radar Equipment","Limited tender","Measuring and observing and testing instruments","Education and Training Services",4,1180636.9,766924.7,413712.2,0,"Environmental Systems & Services"
"All","59698720886",1815000,"Flight Inspection Services","Limited tender","Security surveillance and detection","Printed publications",23,5468620.83,4147272.93,70000,1251347.9,"AIRSERVICES AUSTRALIA"
"All","59863426362",3135000,"Software","Limited tender","Software","Software",7,3254701.65,3254701.65,0,0,"QUEST SOFTWARE INTERNATIONAL LIMITED"
"All","59962540635",12888000,"Lease for WA State Office (including divisions: Curtain, Hasluck, Perth/Stirling/Swan/Tangney)","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,12888000,12888000,0,0,"The Perth Diocesan Trust"
"All","60000161106",688443.76,"Tools and Hardware","Limited tender","Hardware","Tools and General Machinery",9,1135486.26,1135486.26,0,0,"600 MACHINE TOOLS PTY LTD"
"All","60000263678",429922.9,"Construction Works","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",14,1365517.8,192826.31,496488.79,676202.7,"THOMAS & COFFEY LTD"
"All","60001179362",242000,"Prepare a heritage management plan","Open tender","Cultural heritage preservation or promotion services","Cultural heritage preservation or promotion services",19,1304871.46,284371.62,950722.44,69777.4,"GODDEN MACKAY LOGAN"
"All","60061630046",1575387,"Security Upgrade to Facilities","Limited tender","Project management","Building construction and support and maintenance and repair services",11,2530274.26,1904002.1,34585.1,591687.06,"COX ASSET SERVICES"
"All","60082594563",103174582.5,"Redevelopment of Greenbank Training Area","Open tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",18,152737878.5,2043369.78,150694508.72,0,"ST HILLIERS CONSTRUCTION PTY LTD"
"All","60082978514",7654926.79,"WEAPONS TRAINING SIMULATORS","Limited tender","Arms and ammunition accessories","Arms and ammunition accessories",9,12830211.49,12560711.49,0,269500,"MEGGITT TRAINING SYSTEMS AUSTRALIA"
"All","60088233783",1347324,"Fire Fightning Ensemble, Trouser's Fireman's and Coat's Fireman's for Navy RAAF and Army.","Open tender","Clothing","Clothing",2,1377956.25,30632.25,1347324,0,"Pac Fire Australia"
"All","60096776939",1525881.23,"Individual Combat Load Carrage Equipment Disruptive Print Combat Uniform ICLCE DPCU - Vest Chest Webbing SystemS/M/LGrenade CarrierHolster PistolPocket Ammunition 2x Magazine","Limited tender","Luggage and handbags and packs and cases","Camping and outdoor equipment and accessories",7,3511734.75,1525881.23,1985853.52,0,"HUNTERS EDGE"
"All","60103121464",542015.76,"Technical services","Open tender","Architectural services","Computer services",98,14498079.67,490464,13349884.92,657730.75,"AUREC PTY LTD"
"All","60106542116",708920,"Assistance in the development of a unified, inclusive approach to workshop facilitation that generates new ways of thinking and innovation on a broader base that will be inclusive of staff at all levels","Open tender","Strategic planning consultation services","Strategic planning consultation services",8,1048354.45,55100,909044,84210.45,"ENZYME INTERNATIONAL (AUSTRALIA)"
"All","60110812489",2300000,"To provide 50 training and 50 employment opportunities to Indigenous Australians in central and northern Queensland","Open tender","Community and social services","Community and social services",2,2420000,0,2420000,0,"Central Queensland Indigenous Development Limited"
"All","60127459269",770000,"HEALTH CARE SERVICES","Limited tender","Comprehensive health services","Comprehensive health services",3,1260050,1260050,0,0,"AVPHARM HEALTH PTY LTD"
"All","60136570959",587441.8,"CONSULTANCY SERVICES FOR FINANCIAL ANALYSIS TRAINING","Limited tender","Education and Training Services","Education and Training Services",3,1545845.4,1545845.4,0,0,"STCP PTY LTD"
"All","60138198697",235915.2,"Carpet at Wollongong, NSW","Limited tender","Floor coverings","Floor coverings",34,2305164.59,2113247.93,71128.16,120788.5,"Shaw Contract Group Australia"
"All","60168401578",2422695,"Education Services for  Minors - SA","Limited tender","Education and Training Services","Comprehensive health services",2,3798652.54,3798652.54,0,0,"CPM DEPT EDUCATION & CHILDRENS SERV"
"All","60614505595",1194143.86,"AMPS software maintenance 2009-10","Limited tender","Computer services","Management advisory services",21,5018303.27,4441621.74,376922.53,199759,"GAINS RESOURCES ASIA-PACIFIC P/L"
"All","60865916193",1160000,"Flying Fish Cove Inner Mooring System","Limited tender","Permanent structures","Rope and chain and cable and wire and strap",21,1760108.41,1736792.81,0,23315.6,"BEAVER ENGINEERING PTY LTD"
"All","61001279812",983835,"Further assessment of suitable sites","Open tender","Economics","Building construction and support and maintenance and repair services",12,2261498.06,69715.53,2135439.43,56343.1,"WORLEYPARSONS SERVICES PTY LIMITED"
"All","61003536472",2024000,"Employee Assistance Program Year 2","Open tender","Human resources services","Human resources services",26,7925731.73,62105,7863626.73,0,"DAVIDSON TRAHAIRE  CORPSYCH"
"All","61006505559",2444536.6,"Variaiton Order 1- Variation proce request to continue to 90% Defence Logisitics Transformation","Open tender","Management advisory services","Commercial or industrial construction",15,6464825.92,0,6464825.92,0,"BAULDERSTONE HORNIBROOK QUEENSLAND"
"All","61031541493",3596598,"Childcare Centre","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,3596598,3596598,0,0,"Balanced Investment Group Pty Ltd"
"All","61055506968",14951537.6,"Computer services","Open tender","Computer services","Printer and facsimile and photocopier supplies",4,15195628.23,50990.63,14972037.6,172600,"Datacom Systems NSW"
"All","61059040998",896887.54,"Software and support","Limited tender","Communications Devices and Accessories","Computer Equipment and Accessories",132,11341464.79,4284453.92,4849123.32,2207887.55,"FRONTLINE SYSTEMS AUSTRALIA"
"All","61060567686",2274708.42,"Multiparameter Physiological Measurement System","Limited tender","Military science and research","Research programs",40,5108593.02,3618216,1402377.02,88000,"University of Wollongong"
"All","61071065373",613593.75,"Project Management Services","Limited tender","Project management","Computer services",38,6104370.6,787100.45,5186270.15,131000,"PEOPLEBANK (incorporating AMBIT REC)"
"All","61074170988",1510630,"Supply of Cloth, DPCU &amp; DPDU","Open tender","Fabrics and leather materials","Fabrics and leather materials",7,2307183.83,367617.71,1939566.12,0,"BRUCK TEXTILES PTY LTD"
"All","61096995649",111449030,"National Health Reform Enterprise Data Warehouse Managed Services","Prequalified tender","Data services","Application implementation services",45,313253717.5,4162728.68,132969386.41,176121602.41,"ACCENTURE AUSTRALIA HOLDINGS"
"All","61100011489",4155353.35,"Lease at Gregory Street, Wendouree, Victoria","Open tender","Lease and rental of property or building","Lease and rental of property or building",3,7576316.45,0,7510316.45,66000,"Stirloch Developments Pty Ltd"
"All","61121411274",531035,"ICT Contractor Services","Open tender","Information technology consultation services","Information technology consultation services",6,1762460,0,1762460,0,"Business Aspect (ACT) Pty Ltd"
"All","61139843753",1045689,"Provision of Pause Program IT Software","Open tender","Software","Software",3,1135603,89914,1045689,0,"Balanced Ergonomics Pty Ltd"
"All","61249878937",539000,"Performance Modelling Development and Represtative Combat System Implentation Research","Limited tender","Military science and research","Research programs",28,2167229.52,1887736.02,279493.5,0,"UNIVERSITY OF ADELAIDE"
"All","61321195155",744005,"Annual Licence Fee","Limited tender","Occupational health or safety services","Laboratory and scientific equipment",14,1142105.99,1118105.99,0,24000,"AUSTRALIAN RADIATION AND NUCLEAR"
"All","61482053531",835000,"Provision of Education and Training Services","Limited tender","Education and Training Services","Education and Training Services",21,1861020,1261880,599140,0,"Transport Industries Skills Centre"
"All","61616369313",1550000,"Overcoming agronomic and mechanisation constraints to development and adoption o fconservation agriculture in diversified rece-based cropping i Bangladesh","Limited tender","Research programs","Research programs",8,2213896,2178315,35581,0,"Murdoch University"
"All","61970632495",269060000,"Managed Telecommunications Services","Limited tender","Enhanced telecommunications services","Passenger transport",324,338383355.58,328018032.73,7390829.37,2974493.48,"Department of Finance and Deregulation"
"All","62065072193",1742230,"Provision of project management consultancy services for the First World War Galleries redevelopment project","Open tender","Exhibitions","Exhibitions",1,1742230,0,1742230,0,"Root Projects Australia Pty Ltd"
"All","62081001194",1606000,"Internet Gateway","Open tender","Network security equipment","Components for information technology or broadcasting or telecommunications",77,16965759.97,11211165.96,3996486.99,1758107.02,"Verizon Australia Pty Ltd"
"All","62082483154",1734655.2,"Contracted Services","Open tender","Professional engineering services","Professional engineering services",25,5700048.46,540563.33,3697901.13,1461584,"LOGISTICS SOLUTIONS AUSTRALASIA"
"All","62092934659",511377.16,"Corporate Services - IT Software","Prequalified tender","Components for information technology or broadcasting or telecommunications","Software",24,1993071.89,673461.69,411592.3,908017.9,"QIRX PTY LTD"
"All","62096979832",1667000,"Supply of Jackets and Overtrousers, Cold Weather Windproof, Disruptive Pattern Print.","Open tender","Clothing","Clothing",1,1667000,0,1667000,0,"Tuffa Workwear Pty Ltd"
"All","62145740914",2420000,"Military Target Robotics","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",2,2525000.01,105000.01,0,2420000,"MARATHON TARGETS PTY LTD"
"All","62180670738",2598701.67,"125190 - Property Lease","Limited tender","Lease and rental of property or building","Lease and rental of property or building",1,2598701.67,2598701.67,0,0,"Sporco Investments Pty Limited"
"All","62564797956",22500000,"Provision of a range of services for Booderee National Park administered through service level agreements.&nbsp; Currently there are five SLAs covering cleaning, entry station, roads, infrastructure and&nbsp;grounds&nbsp;maintenance.","Limited tender","Building construction and support and maintenance and repair services","Community and social services",5,22826073.61,22826073.61,0,0,"WRECK BAY ABORIGINAL COMMUNITY CNL."
"All","62920443960",32010150.73,"Aircraft Deeper Maintenance","Limited tender","Military fixed wing aircraft","Military fixed wing aircraft",40,39761891.73,35634123.31,2389166.72,1738601.7,"BAE SYSTEMS AUSTRALIA"
"All","63000014504",1953600,"To provide 296 School Based Traineeship opportunities to Indigenous Australians in Brisbane, Central and Northern Queensland, Southern Queensland and Sydney.","Open tender","Community and social services","Community and social services",4,2004755,51155,1953600,0,"NSW Business Chamber Limited"
"All","63000341819",27500000,"Printer, photocopier and facsimile supplies","Open tender","Office equipment rental or leasing services","Office machines and their supplies and accessories",88,42214382.92,1193257.33,40872763.09,148362.5,"Fuji Xerox Australia Pty Ltd"
"All","63003086931",611437.8,"Training","Open tender","Education and Training Services","Education and Training Services",30,2727527.52,192037.86,2518963.66,16526,"SHL Australia Pty Ltd"
"All","63007889081",25842441.9,"Management of  Australian Development Scholarships (Indonesia","Open tender","Education and Training Services","Management advisory services",27,57842273.58,3734875.06,54030398.52,77000,"COFFEY INTERNATIONAL DEVELOPMENT PTY LTD"
"All","63011044349",698832.84,"Supply of web software licences and support","Open tender","Software","Computer Equipment and Accessories",10,1145757.1,118739.5,1027017.6,0,"Datacom Systems Pty Ltd"
"All","63020415510",5665000,"Completion of Australian Rainfall & Run-off (AR&R) review","Limited tender","Earth science services","Professional associations",16,6619545.4,6300045.4,0,319500,"THE INSTITUTION OF ENGINEERS AUST"
"All","63050431868",297000,"Human Resources and Payroll Related Services Agreement","Limited tender","Human resources services","Software maintenance and support",32,2115188.89,1558607.69,211575,345006.2,"Aurion Corporation Pty Ltd"
"All","63061583533",1001280,"Envelopes","Open tender","Paper products","Printing",20,2663521.25,0,2392468.85,271052.4,"Paper Australia Pty Ltd"
"All","63075561778",499096,"ICT Services","Open tender","Strategic planning consultation services","Computer services",44,6823996.8,0,6823996.8,0,"TECHPOINT CONSULTING PTY. LIMITED"
"All","63103395786",652592.6,"Level 5&amp;6 Aviation House Fitout June 2012 Sourced from Tressury panel TSY RFT 018/10","Open tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",26,1940775.45,447805.07,1470991.88,21978.5,"Affinity Construction Management"
"All","63106160678",899589.9,"Acquisition of LiDAR, Imagery and Derived Products for Vanuatu","Open tender","Earth science services","Earth science services",9,2015818.35,141849.95,1833968.4,40000,"AAM Pty Ltd"
"All","63128660891",1732935.7,"Security Vetting Services","Open tender","Security and personal safety","Security and personal safety",6,2674220.19,50000,2624220.19,0,"BARRINGTON PERSONNEL SECURITY"
"All","63128988590",605000,"Care for Kids Ears Campaign Communication Activity for Official Order 3","Limited tender","Public relation services","Public relation services",2,1045000,605000,0,440000,"THE HUB MARKETING COMMUNICATIONS"
"All","63209860411",132348932,"Lease at 400 George Street, Brisbane, QLD&nbsp;(Dept Human Services)26DHS","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,132348932,0,132348932,0,"400 George Street Development Trust and Trinkaus Australien Immobilien-Fonds NR. 1 Treuhand-Gmbh as trustee of a trust"
"All","63238919236",1024800,"Lease for Premises at Building 5, 101 Tennant Street, Fyshwick ACT 2609","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,1024800,0,1024800,0,"Grigoria Makas"
"All","63384330717",2856000,"Bankruptcy Notice lodgements fees pursuant to Bankruptcy Regulation 16.06","Limited tender","Debt management","Information technology consultation services",6,3539042.74,2976986.74,562056,0,"Ambit Recruitment"
"All","63478951337",10912000,"Provision of Tax Technical Litigation and Tax Legal Advice Services","Open tender","Legal services","Legal services",26,16660399.79,437538.75,11933861.04,4289000,"Maddocks"
"All","63578775294",9515440,"IT MOU for FY 11/12.","Open tender","Components for information technology or broadcasting or telecommunications","Information technology consultation services",49,30445116.04,18651429.75,9877512.7,1916173.59,"Department of Education, Employment and Workplace Relations"
"All","63942912684",2034788,"Improving watershed rehabilitation outcomes in the Philippines using a systems approach","Limited tender","Research programs","Research programs",42,8006970.69,7050754.45,578965.24,377251,"University of Queensland"
"All","64000965551",20437220.02,"ENHANCED CEKAL SYSTEM PROJECT","Open tender","Computer services","Computer services",2,20518800.02,81580,20437220.02,0,"C P S SYSTEMS PTY LTD"
"All","64001053079",7370000,"LONGITUDINAL SURVEY OF HUMANITARIAN MIGRANTS","Prequalified tender","Research programs","Research programs",12,10210482.36,1427332,1413150.36,7370000,"Australian Institute of Family Studies"
"All","64003114832",1430000,"Debt Management","Limited tender","Debt management","Debt management",1,1430000,1430000,0,0,"Citigroup Global Markets Australia"
"All","64006107857",12981463,"Remediation Management Services","Limited tender","Environmental protection","Environmental management",7,25808062.5,12981463,9308469.5,3518130,"GOLDER ASSOCIATES PTY LTD"
"All","64006678119",17066548.19,"Maintenance Services","Open tender","Computer hardware maintenance or support","Aerospace systems and components and equipment",235,111282778.23,27749483,74084550.35,9448744.88,"BOEING DEFENCE AUSTRALIA LTD"
"All","64008178676",3758150,"Simulation","Limited tender","War vehicles","Military science and research",15,7908042.67,7582622.25,314420.42,11000,"SYDAC PTY LTD"
"All","64008392452",663855,"Vocational Graduate Compliance Qualifications Program","Open tender","Education and Training Services","Education and Training Services",25,1684067.5,610997,1040070.5,33000,"CPA Australia"
"All","64008605034",637128505.2,"CCSM In Service Support Contract","Limited tender","Marine craft systems and subassemblies","Marine craft systems and subassemblies",173,990351960.33,990302181.84,49778.49,0,"ASC PTY LTD"
"All","64058914668",387288.44,"SUBSCRIPTIONS 1/7/12 - 30/6/13","Limited tender","Library or documentation services","Library or documentation services",51,2720240.3,2351737.32,301750.28,66752.7,"THOMSON REUTERS (PROFESSIONAL)"
"All","64062160614",2419500,"DMO REHABILITATION SERVICES","Open tender","Physical and occupational therapy and rehabilitation products","Comprehensive health services",13,3162957.06,76039.31,3086917.75,0,"Advanced Personnel Management"
"All","64083660093",352000,"Medical Assessment Services","Open tender","Comprehensive health services","Rehabilitation services",20,1266433.16,435433.16,831000,0,"Konekt Australia Pty Ltd"
"All","64134723729",168877.5,"Provision of Consultancy Services","Open tender","Management advisory services","Management advisory services",11,1343429.17,631836.67,586592.5,125000,"Aquitaine Consulting Pty Ltd"
"All","64143127404",1158300,"DEVELOPMENT OF SBR TAXONOMY MAINTENANCE SYSTEM","Limited tender","Temporary personnel services","Temporary personnel services",6,1696629,1257399,304920,134310,"ICM CONSULTING PTY LTD"
"All","64909221257",1023000,"MoU - Raising awareness of the service and sacrifice of Australians who served in wars  conflicts and peace operations.","Limited tender","Community and social services","Community and social services",3,1268000,1268000,0,0,"Australian War Memorial - SALES /PROGRAM"
"All","65001305291",871200,"Bag, Bivi Gore-tex, Olive Drab or Green, 750GM","Limited tender","Camping and outdoor equipment and accessories","Camping and outdoor equipment and accessories",11,1988283.5,1061066.4,927217.1,0,"Mont Adventure Equipment Pty Ltd"
"All","65002370452",682000,"Hardware and software support services","Limited tender","Management advisory services","Management advisory services",4,1421311.11,1254000,136071.11,31240,"Bar Code Data Systems Pty Ltd"
"All","65003371239",3764161.85,"Project Coordinator Contract for 12 months","Prequalified tender","Management support services","Computer Equipment and Accessories",325,57973171.16,3238574.95,49983210.88,4751385.33,"Dimension Data Australia Pty Ltd"
"All","65005610079",3531000,"Mainframe installation","Open tender","Mainframe computers","Computer Equipment and Accessories",69,29480153.77,2293152.45,25837507.97,1349493.35,"Hitachi Data Systems Australia Pty Ltd"
"All","65067682928",4208220.12,"Managed Contact Centre Services","Open tender","Call management systems or accessories","Information technology consultation services",56,21075331.67,272118,19203527.66,1599686.01,"UXC Limited"
"All","65078938262",1080209.9,"Construction works for Mirrabooka, WA","Prequalified tender","Building construction and support and maintenance and repair services","Building construction and support and maintenance and repair services",1,1080209.9,0,0,1080209.9,"Scope Interiors (1997) Pty Ltd"
"All","65079915932",5700000,"Provision of Printing, Mailhouse and Fulfilment Services","Prequalified tender","Printing","Printing",144,15400982.3,975711.03,8149996.55,6275274.72,"Canprint Communications Pty Ltd"
"All","65092167970",1117961.9,"Project Management services","Open tender","Legal services","Building construction and support and maintenance and repair services",29,2989410.13,107815.29,2779527.28,102067.56,"Coffey Projects (Australia) P/L"
"All","65092811035",3818000.01,"TTSS Contract - Additional Trade Skills Consolidation Training","Limited tender","Education and Training Services","Education and Training Services",5,4208378.37,3971382.37,0,236996,"SCIENTIFIC MANAGEMENT ASSOCIATES"
"All","65098516388",458025.86,"BALLISTIC LASER OCULAR PROTECTION SYSTEM - VARIOUS EYE PROTECTION ITEMS","Limited tender","Safety apparel","Safety apparel",6,1153383.27,1018633.27,134750,0,"Frontline Safety Australia PTY LTD"
"All","65119369827",330000,"Internal Audit Services","Open tender","Internal audits","Accounting services",22,2170063.39,89854.89,1710888.5,369320,"Synergy Group Australia Limited"
"All","65179263474",489519.8,"Symantec - Enterprise Vault licence renewal","Open tender","Software maintenance and support","Software",10,1487503.5,170541.6,1316961.9,0,"Symantec Asia Pacific Pty Ltd"
"All","65281415387",319000,"Occupational Health and Safety Services","Open tender","Comprehensive health services","Comprehensive health services",23,1182504.94,139798.95,1009074,33631.99,"CRS Australia"
"All","65319382479",851400,"Financial Statement Audit of ANU and controlled entities","Open tender","Audit services","Audit services",24,2514535.74,156197.5,2358338.24,0,"RSM Bird Cameron"
"All","65377938320",7423069,"Wreck Removal MV Tycoon Christmas Island","Limited tender","Marine transport","Marine transport",2,7541769,7541769,0,0,"9120 AUSTRALIAN MARITIME SAFETY"
"All","65542596200",330000,"Learning Services","Open tender","Education and Training Services","Research programs",26,2398600.36,1086732.42,1102592.94,209275,"THE FLINDERS UNIVERSITY OF SA"
"All","66001744332",985001.6,"TRANSPORTABLE RECOMPRESSION CHAMBER SYSTEM REPAIR MAINTENANCE CONTRACT","Limited tender","Military watercraft","Military watercraft",13,1310976.85,1178991.83,0,131985.02,"COWAN MANUFACTURING PTY LTD"
"All","66003828537",440000,"ICT Contractor Services","Open tender","Computer services","Computer services",21,2478930,240970,2237960,0,"CGI Information Systems and Management Consultants (Australia)"
"All","66005002951",4199636,"Managed print services","Open tender","Printer and facsimile and photocopier supplies","Printer and facsimile and photocopier supplies",10,4891533.86,691897.86,4199636,0,"Canon Australia Pty Ltd"
"All","66005585811",2524500,"Facilities Management Contract Base Fee 2012/2013","Open tender","Real estate services","General building construction",41,4304628.62,842027.46,3066030.58,396570.58,"Skilled Group Limited (ATIVO)"
"All","66006415229",1216545,"Theatrette and Viewing Room Equipment and Upgrade","Open tender","Electronic manufacturing machinery and equipment and accessories","Data Voice or Multimedia Network Equipment or Platforms and Accessories",18,3406665,89472.43,3220190.17,97002.4,"Rutledge Engineering (Aust) Pty Ltd"
"All","66008642751",203616000,"Supply of 214 Protected Mobility Vehicles","Limited tender","War vehicles","Military watercraft",1360,729019699.68,574873398.19,110456877.11,43689424.38,"THALES AUSTRALIA"
"All","66008709608",3184918.24,"2010/2013 national airfields maintenance project works contractors package 1","Open tender","Airfield","Airfield",9,8478018.7,0,8478018.7,0,"DOWNER EDI WORKS"
"All","66010178926",6285536.4,"Staff Acommodation - Weipa","Limited tender","Lease and rental of property or building","Lease and rental of property or building",2,6670536.4,6670536.4,0,0,"WEIPA MOTEL & RESORT"
"All","66015286036",1007566,"Security Services for G20 2014","Limited tender","Security and personal safety","Live animals",21,2276390.3,2074309.1,202081.2,0,"Australian Customs Service"
"All","66055131443",1200001,"Strategic Planning Consultation Services","Open tender","Management advisory services","Management advisory services",1,1200001,0,1200001,0,"MCKINSEY PACIFIC RIM INC"
"All","66057731192",998000,"ALCOHOL MANAGEMENT STRATEGY","Limited tender","Comprehensive health services","Comprehensive health services",3,1054648.01,1054648.01,0,0,"AUSTRALIAN DRUG FOUNDATION"
"All","66060294895",1377486,"Software Renewal","Limited tender","Software","Software",8,1847896.42,1847896.42,0,0,"Digital Networks Australia"
"All","66065419712",60000,"Provision of reallocation services.","Limited tender","Personnel recruitment","Relocation services",118,1901733.06,317995.1,1550462.96,33275,"Wridgways Limited"
"All","66072963690",606667.96,"ESTABLISHMENT OF AN ENTERPRISE PROGRAM MANAGEMENT OFFICE","Open tender","Management support services","Professional engineering services",60,9183858.32,2185737.45,6033038.35,965082.52,"QINETIQ TECHNICAL CONSULTING"
"All","66077181349",13533933.13,"Support Contract milestone and price variation","Limited tender","Security surveillance and detection","Surveillance and detection equipment",79,26938373.03,26795613.03,142760,0,"LOCKHEED MARTIN AUSTRALIA"
"All","66086210344",967780,"Provision of a Scoping Study for Workforce Plan","Open tender","Strategic planning consultation services","Education and Training Services",63,6459569.38,1336246.72,5105506.2,17816.46,"THE NOUS GROUP"
"All","66088277561",2473738.34,"JOCWEB INSERVICE SUPPORT","Limited tender","Software","Software",46,9383347.64,5681843.14,3701504.5,0,"BERKELEY INFORMATION TECHNOLOGY"
"All","66088868062",931803.71,"Supply and maintenance of x-ray machines and related services.","Open tender","Tools and General Machinery","Tools and General Machinery",34,3654316.73,1284453.73,2369863,0,"SMITHS DETECTION (AUSTRALIA) PTY LTD"
"All","66092605742",19594637.38,"Extension to Contract No 5890010 - FTR F88 Weapons","Limited tender","Arms and ammunition accessories","Light weapons and ammunition",35,61572856.98,61154231.82,0,418625.16,"THALES AUSTRALIA ADI MUNITION P/L"
"All","66104535837",880000,"Supply of Workstations","Open tender","Interior finishing materials","Office furniture",11,1115423.1,56487.2,1058935.9,0,"INO CONTRACT FURNITURE PTY LTD"
"All","66120398067",116984707.1,"Supply of Seasonal &amp; Pandemic Influenza Vaccines","Open tender","Comprehensive health services","Comprehensive health services",1,116984707.1,0,116984707.1,0,"CSL Biotherapies Pty Ltd"
